Date,Year,Type,Country,Area,Location,Activity,Injury,Species 
3/9/69,1969,Unprovoked,USA,Hawaii,Makaha; O'ahu,Surfing,Leg & surfboard bitten,White shark; identified by tooth fragments in surfboard
11/6/68,1968,Watercraft,SOUTH AFRICA,KwaZulu-Natal,Ramsgate,Fishing,Shark leapt into boat; landed on Hlope's back; then bit his left forearm,90-kg blackfin shark
5/20/66,1966,Sea Disaster,AUSTRALIA,,7 miles offshore on east coast of Australia,Shipwreck,FATAL; other human remains bitten by sharks; 13 people missing,Believed white shark and other smaller species of sharks involved.
10/16/65,1965,Unprovoked,BAHAMAS,New Providence Island,Nassau,Sunbathing on beach when he saw child being attacked by the shark,Right arm & right leg bitten,1.8 m [6']; 180-lb shark
12/10/64,1964,Unprovoked,PAPUA NEW GUINEA,Bougainville (North Solomons),Buka Island,,Thigh severely lacerated,
8/8/64,1964,Unprovoked,USA,Florida,2 miles off Jupiter; Palm Beach County,Spearfishing using scuba,No injury; shark hit scuba tank,Hammerhead shark
8/1/64,1964,Unprovoked,PANAMA,San Blas,Off Achutuppu Island near Ailigandi,Free diving / Spearfishingat edge of reef,Foot lacerated,Less than 1.2 m [4']
6/2/64,1964,Invalid,SOUTH AFRICA,KwaZulu-Natal,Port Edward,Swimming,Skeletonized; except for head & feet. Possibly a drowning / scavenging,Shark involvement prior to death was not confirmed
2/11/64,1964,Unprovoked,NEW ZEALAND,North Island,Palliser Bay; Whatarangi (east of Wellington),preparing to go skin diving,Hand lacerated,
2/5/64,1964,Unprovoked,NEW ZEALAND,South Island,St. Clair Beach; Dunedin,Swimming,FATAL; both legs bitten & right leg severed at knee,White shark; 3 m to 3.7 m [10' to 12']
2/1/64,1964,Watercraft,NEW ZEALAND,South Island,Ngatuka Bay; near Picton,Rowing,No injury to occupants ; shark nudged oars,1.8 m [6'] shark
2/1/64,1964,Unprovoked,COSTA RICA,Puntarenas Province,Puntarenas,Swimming,FATAL; right arm & left thigh bitten,
12/22/63,1963,Invalid,ATLANTIC OCEAN,Between Southampton & Canary Islands,,Greek steamship Lakonia caught fire; 98 of her 646 passengers; and 30 of her crew of 376 perished,One woman reported to have suffered fish bites; but cause of her death was exposure & drowning,Invalid
5/14/63,1963,Sea Disaster,PHILIPPINES,Luzon Island,100 miles southeast of Manila,Boat; with 42 passengers onboard; capsized in rough seas,Of the 42 people on board; 5 died of exposure; others drowned or were taken by sharks. Survivors were rescued after spending 3 days in the water.,
4/8/63,1963,Invalid,USA,Hawaii,Hapuna Beach; Hawai'i,Washed into sea while picking opihi,May have drowned prior to shark involvement; partial remains recovered,Shark involvement prior to death was not confirmed
1/28/63,1963,Unprovoked,AUSTRALIA,New South Wales,Sugarloaf Bay; Middle Harbour; Sydney,Wading,FATAL; right femoral artery severed; thigh; calf; buttock & left hand bitten,Tooth fragments of “whaler” shark were recovered; a bull shark; according to Edwards
11/29/62,1962,Unprovoked,AUSTRALIA,New South Wales,Sydney,Spearfishing; Scuba diving,No injury; shark bit spear & dragged diver 90',3 m [10'] shark
9/22/62,1962,Unprovoked,MEXICO,Veracruz,Villa del Mar Beach; Veracruz,Swimming,Left arm severely bitten; surgically amputated,
2/18/62,1962,Provoked,NEW ZEALAND,Southland,Long Beach,Swimming,Mistook shark's tail for kelp & grabbed it; legs abraded by shark's fins PROVOKED INCIDENT,1.8 m [6'] shark
2/1/62,1962,Unprovoked,SOLOMON ISLANDS,Guadalcanal Province,North Coast; Guadalcanal Island,Swimming outside fishing net,FATAL; shoulder & thigh bitten,
1/11/62,1962,Unprovoked,PAPUA NEW GUINEA,10ºS; 142ºE,Jukuataia Village,Spearfishing,Left leg & buttocks bitten,White shark
2/17/61,1961,Unprovoked,AUSTRALIA,Victoria,Mount Martha Beach,Standing,Ankle bitten by small “gummy” shark; minor injury,2' banjo shark
12/27/60,1960,Unprovoked,USA,Hawaii,Maile Point; O'ahu,Swept out to sea while net fishing,FATAL  Shark seen attacking Riley; body recovered off Nanakuli,
11/22/60,1960,Invalid,USA,Florida,Hutchinson Island Beach; Martin County,Fell overboard; prop slashed arm,FATAL; probable drowning & post mortem scavenging,Shark involvement prior to death was not confirmed
11/1/60,1960,Unprovoked,PAPUA NEW GUINEA,Central Province,Abau Subdistrict,Fishing,FATAL; severely bitten genitals & thighs,
4/3/60,1960,Unprovoked,AUSTRALIA,Victoria,Canadian Bay near Mount Eliza; 30 miles from Melbourne,Spearfishing,Minor cuts & bruises on face & neck,1.5 m [5'] shark
10/1/59,1959,Unprovoked,FIJI,Kadavu,Great Astrolabe Reef,Spearfishing,forearm abraded,Tiger shark; 1.8 m [6']
7/30/59,1959,Provoked,USA,California,In kelp beds off La Jolla; San Diego County,Pulling anchor,No injury to occupants; shark charged boat after being shot twice with pistol and speared PROVOKED INCIDENT,White shark; 3 m to 5 m [10' to 15']
5/7/59,1959,Unprovoked,USA,California,Baker Beach; San Francisco County,Treading water,FATAL; left arm bitten; right arm partly severed; deep lacerations of left shoulder & chest,"White shark; 3 m [10'], identifed by Dr. W.I. Follett on tooth marks"
1/15/59,1959,Unprovoked,SOUTH AFRICA,Western Cape Province,Melkbaai,Swimming,Thigh & both wrists lacerated,White shark; 1.8 m to 2.1 m [6' to 7']  according to Shreuder and a witness
1/2/59,1959,Unprovoked,MOZAMBIQUE,Maputo Province,Off Inhaca Island,Swimming ashore from fishing boat swamped and sunk by a squall,Suttie's lower abdomen was bitten; Murray disappeared (presumed drowned),
,1959,Unprovoked,INDIA,Orissa,Mouth of Devi River at Machgaon,,5 people killed by sharks; 30 others injured,1.5 m to 1.8 m [5' to 6'] sharks
12/28/58,1958,Watercraft,TURKEY,Ahirkapi coast,Constantinople,Fishing,Boat damaged,White shark
10/5/58,1958,Unprovoked,USA,Florida,Baker's Haulover; Miami Beach,,No injury,
7/8/58,1958,Unprovoked,KENYA,Coast Province,Port Kilindeni / Mombasa Harbor,Swimming,FATAL; leg severed,
6/26/58,1958,Provoked,USA,Florida,Sanibel Island; Lee County,Wading,Right foot bitten when he walked into shark's head PROVOKED INCIDENT,Nurse shark; 2.1 m [7']  identified by Dr. E. Clark on color & tooth impressions
1/1/58,1958,Boat,SOUTH AFRICA,Western Cape Province,Plettenberg Bay,Fishing (trolling),"No injury to occupants, shark bit propeller",White shark
10/7/56,1956,Unprovoked,SENEGAL,Near Dakar; Cap Vert Peninsula,Isle de Gorée,Skindiving; fish at belt,Right thigh bitten,Lemon shark
9/23/56,1956,Unprovoked,USA,Florida,Daytona Beach; Volusia County,Surf fishing,Posterior left ankle bitten,a sand shark
8/1/56,1956,Provoked,UNITED KINGDOM,Cornwall,The Lizard,Attempting to kill a shark with explosives,FATAL; PROVOKED INCIDENT,
8/1/56,1956,Boat,MALTA,Congreve Channel,between Filfla Island and Wied iz-Zurrieq,Fishing,No injury to occupants; but Emmanuel later died of shock in hospital,Porbeagle or white shark
7/20/56,1956,Unprovoked,MALTA,St. Thomas Bay,Marsascala,Swimming,FATAL,White shark
2/1/55,1955,Watercraft,AUSTRALIA,New South Wales,Parramatta River,Rowing,"No injury to occupants, shark grabbed oar; vaulted over scull",
,1955,Unprovoked,COLUMBIA,Isles del Rosario,Southwest of Cartegena,Spearfishing,Swim fin & foot bitten,1.5 m [5'] shark
5/26/54,1954,Unprovoked,PAPUA NEW GUINEA,East Sepik,Wewak,Fishing / cleaning fish; dived into water to retrieve a lost fish,FATAL; decapitated,
12/30/53,1953,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Second Beach; Port St. Johns,Swimming,Left calf lacerated,Said to involve a >4 m [13'] shark
7/9/53,1953,Watercraft,CANADA,Nova Scotia,Fourchu; Cape Breton Island,Fishing for lobsters,Burns drowned as result of attack on boat,White shark; 3.7 m [12']; 500 to 500-kg [1;200 lb]; identified by W. C. Shroeder based on tooth fragment ebedded in gunwale
3/19/53,1953,Unprovoked,AUSTRALIA,South Australia,Schnapper Rock; Kirton Point,Spearfishing,Abrasion,8' shark
1/1/53,1953,Unprovoked,AUSTRALIA,,,Spearfishing,Kneecap bitten,Wobbegong shark
1/1/50,1950,Provoked,ITALY,Savona,Albenga,Fishing,Harpooned shark bit his forehead PROVOKED INCIDENT,
7/9/50,1950,Invalid,USA,Texas,Galveston Bay,,Human remains found in shark,Shark involvement prior to death was not confirmed
,1950,Unprovoked,LIBERIA,Montserrado,Monrovia,Defecating in water beneath the docks,FATAL,
5/16/49,1949,Unprovoked,AUSTRALIA,Western Australia,Broome,Bathing,Left arm severed above elbow; recovered 5 days afterwards from shark’s gut,Whaler shark; 2.7 m [9']; 350- to 450-lb  identified by G.P. Whitley
12/24/46,1946,Watercraft,AUSTRALIA,Queensland,Auckland Creek; Gladstone,,Shark jumped into cockpit,7' shark
8/18/46,1946,Unprovoked,AUSTRALIA,Queensland,Ellis Beach; 20 miles from Cairns,Swimming after a tennis ball,FATAL; body not recovered,4.3 m [14'] shark
9/16/45,1945,Sea Disaster,JAPAN,Ryukyu,,American minesweeper USS YMS-350 lost in a typhoon - swimming to shore,FATAL,
1/18/42,1942,Watercraft,AUSTRALIA,New South Wales,Fairy Bower,,Paddle of surf ski bitten by shark,
1/1/42,1942,Sea Disaster,,,,Jumped overboard from torpedoed Panamanian freighter,FATAL,
1/1/42,1942,Unprovoked,PANAMA,Panama City,Bella Vista Beach,Swimming,FATAL; body not recovered,
1/1/41,1941,Unprovoked,IRAN,Khuzestan Province,Ahvaz; on the Karun River,,FATAL,
1/1/41,1941,Unprovoked,IRAN,Khuzestan Province,Ahvaz; on the Karun River,Standing,FATAL,
7/18/39,1939,Sea Disaster,PACIFIC OCEAN,,,Japanese freighter Bokuyo Maru burned & sank,Thought to have been taken by a shark,
2/26/39,1939,Unprovoked,INDIA,Tamil Nadu,Chennai (formerly Madras),Bathing/Swimming,FATAL,
1/1/38,1938,Unprovoked,EGYPT,,Mersa Matruh,Sponge diving,FATAL,
10/27/37,1937,Unprovoked,AUSTRALIA,Queensland,Kirra Beach; Coolangatta,Swimming,FATAL,Tiger shark
9/12/37,1937,Watercraft,SCOTLAND,Argyllshire,Arran,Pleasure boating,No injury to occupants; two 5-foot observation windows shattered,Basking shark
6/15/37,1937,Provoked,AUSTRALIA,New South Wales,Wallamba River; near entrance to Wallis Lake,Fishing from launch; fell into net with shark,Bitten by netted shark PROVOKED INCIDENT,Whaler shark; 4 m [13']
12/12/36,1936,Unprovoked,AUSTRALIA,New South Wales,Throsby Creek; Newcastle,Swimming,FATAL; leg severed at knee,
1/5/36,1936,Invalid,AUSTRALIA,Queensland,Main Beach; Southport,Surfing,Disappeared & his torn clothing washed ashore,Shark involvement prior to death was not confirmed
7/27/35,1935,Invalid,USA,California,Santa Barbara Channel,fishing boat exploded & sank,Although listed as  an uprovoked fatal attack by SAF; he was killed by the explosion. The shark bites were post-mortem,Invalid
3/25/35,1935,Provoked,SOUTH AFRICA,KwaZulu-Natal,North Pier; Durban,Put foot inside mouth of supposedly dead shark,Injury to foot    PROVOKED INCIDENT,
1/27/34,1934,Unprovoked,AUSTRALIA,New South Wales,Lambeth Street Wharf; George’s River; East Hills (20 miles from river mouth),Swimming outside the safety enclosure attempting to retrieve a tennis ball drifting toward midstream,Bumped; chest bitten & badly injured,
2/13/32,1932,Unprovoked,AUSTRALIA,Queensland,Calliope River,Fishing with dynamite,Foot bitten,
11/26/31,1931,Unprovoked,AUSTRALIA,Torres Strait,Barrier Reef near Innisfail,Diving for trochus from lugger,Left foot acerated,4 m [13'] shark
3/22/31,1931,Unprovoked,AUSTRALIA,Queensland,Ross River; Townsville,Fishing with a cast net,FATAL; left thigh severely bitten,
3/7/30,1930,Unprovoked,USA,Florida,70 miles off Tarpon Springs,Sponge diving,No injury to diver but shark left 3 toothmarks in his helmet,
1/22/30,1930,Watercraft,MEXICO,Veracruz,Panuco River Mouth,Fishing schooner Jose Luis foundered,remains of one of the crew found in shark,
10/2/29,1929,Unprovoked,SPAIN,Valencia,Nasareth Beach,Fishing,Arm injured when sharks rammed his boat,
1/5/29,1929,Unprovoked,FIJI,Viti Levu Island,Suva Harbor,Diving for coins thrown from ship S.S. Moeraki,FATAL; hand severed; both legs & arms bitten & nearly severed,
4/20/27,1927,Unprovoked,AUSTRALIA,Torres Strait,Near Thursday Island,Diving,Extensive injuries to left leg,
11/17/26,1926,Unprovoked,AUSTRALIA,Torres Strait,Near Thursday Island,Diving,Arm injured,
7/23/26,1926,Unprovoked,ITALY,Golfo di Genova in the Ligurian Sea,Varazze,Swimming,FATAL; body was not recovered,Said to involve 6 to 7 m [20' to 23'] white shark
7/3/26,1926,Invalid,SPAIN,Sants-Montjic,Casa Antunez Beach; Barcelona,Bathing,No injury,Questionable; 2m shark suspected
2/8/24,1924,Invalid,AUSTRALIA,Queensland,Currumbin,Bathing,Probable drowning & scavenging,Shark involvement prior to death unconfirmed
12/12/23,1923,Unprovoked,AUSTRALIA,New South Wales,Murwillumbah; Tweed River,Swimming,Lacerations to leg,
1/27/23,1923,Invalid,AUSTRALIA,Western Australia,Bunbury,,Death may have been due to drowning,Shark involvement prior to death was not confirmed
9/26/22,1922,Unprovoked,ENGLAND,East Yorkshire,Hornsea,Swimming,FATAL,
3/8/20,1920,Unprovoked,AUSTRALIA,Queensland,Between Bay Rock & Magnetic Island; Cleveland Bay,Boat capsized; swimming to shore,Tossed in air by shark; sustained abrasions,
1/5/19,1919,Unprovoked,AUSTRALIA,Queensland,Ross River; Townsville,Wading (shrimping),FATAL; thigh bitten; leg amputated,
7/12/16,1916,Unprovoked,USA,New Jersey,Matawan Creek; 10 miles from the sea; Monmouth County,Swimming,FATAL; legs & torso bitten,
7/8/16,1916,Unprovoked,SPAIN,Gran Canaria,Las Palmas,Diving,Survived,
9/3/13,1913,Provoked,CROATIA,Istria County,Pula,,Badly bitten by a shark dragged onboard PROVOKED INCIDENT,2 m shark
3/29/11,1911,Unprovoked,AUSTRALIA,Torres Strait,Thursday Island,Swimming,FATAL,
12/31/08,1908,Unprovoked,SOUTH AFRICA,Western Cape Province,Stilbaai,Swimming,FATAL,
10/8/07,1907,Unprovoked,USA,Hawaii,Kalepolepo; Kihei; Maui,Diving; retrieving fish caught in net,Arm severed at elbow;  surgically amputated at shoulder,
9/6/05,1905,Provoked,USA,Florida,Fort Pierce; St Lucie County,Fishing,Lacerations to leg from hooked shark PROVOKED INCIDENT,
1/1/04,1904,Invalid,USA,,,Diving on a wreck,Leg bitten,Questionable
1898-12-28,1898,Unprovoked,AUSTRALIA,Queensland,The Narrows,Fell oveboard,FATAL,
1897-06-09,1897,Sea Disaster,YEMEN,Socotra Islands,Socotra,Wreck of the steamship Sultan of Bombay,FATAL,
1896-07-25,1896,Unprovoked,USA,Hawaii,Kahului; Maui,Fishing,FATAL,
1893-07-03,1893,Sea Disaster,PHILIPPINES,Luzon Island,Off Manila,Abandoning burning steamship Don Juan,FATAL,
1892-05-19,1892,Unprovoked,NEW ZEALAND,North Island,Rockhampton,Bathing,Minor injury to leg,
1889-01-01,1889,Unprovoked,SIERRA LEONE,Western Area,Freetown,Cleaning the side of a ship,FATAL,
1888-07-04,1888,Invalid,CROATIA,Lukovo,,,Human remains & clothing found in 7' shark,Shark involvement prior to death unconfirmed
1888-01-01,1888,Unprovoked,LIBYA,Mediterranean Sea,Off Tripoli,Sponge diving,Lacerations to thorax and hands,
1886-02-13,1886,Watercraft,AUSTRALIA,Victoria,Mordialloc,Fishing,No injury to occupants; shark shook boat stem to stern,
1884-08-28,1884,Unprovoked,USA,New Jersey,Bayonne; Hudson County,Watercraft,Hand bitten,
1884-01-14,1884,Unprovoked,AUSTRALIA,South Australia,Port Pirie; Spencer Gulf; 230 km north of Adelaide,Fell overboard,FATAL,Said to involve 2 sharks
1881-09-05,1881,Unprovoked,USA,North Carolina,Elizabeth City; Pasquotank County,Bathing,FATAL; possible post-mortem bites,
1880-11-25,1880,Unprovoked,AUSTRALIA,Queensland,Petrie Bight; Brisbane River,Swimming,Feet bitten; surgically amputated FATAL,Bull shark
1880-01-03,1880,Unprovoked,AUSTRALIA,New South Wales,Cooranbong,Bathing,Lacerations to leg,
1868-09-01,1868,Unprovoked,ITALY,Adriatic Sea,Trieste,,FATAL,White shark
,1868,Unprovoked,NEW ZEALAND,North Island,Brickfield Bay; Auckland Harbour,Bathing close inshore,Thigh bitten,Shark caught later
1864-01-16,1864,Unprovoked,NEW ZEALAND,Foveaux Strait,Stewart Island,Boat swamped,FATAL,
1864-01-01,1864,Unprovoked,INDONESIA,Sumatra,Off Acheen Head,Reaching for life preserver,FATAL,
1862-08-02,1862,Invalid,SPAIN,Malaga,Fuengirola,,Possible drowning and scavenging,Shark involvement prior to death unconfirmed
1849-01-27,1849,Invalid,AUSTRALIA,New South Wales,Sydney,boat capsized,Torso bitten but may have been postmortem,Shark involvement prior to death unconfirmed
1847-02-12,1847,Sea Disaster,MEXICO,,,Wreck of the Tweed,FATAL,
1847-01-01,1847,Invalid,USA,South Carolina,Charleston Harbor; Charleston County,Swimming,Disappeared; thought to have been taken by a shark,Shark involvement prior to death unconfirmed
,1847,Unprovoked,USA,South Carolina,,Watercraft,Hand severed,
1844-07-20,1844,Unprovoked,NAMIBIA,,,Boat capsized,FATAL,
1837-09-09,1837,Unprovoked,USA,South Carolina,Magwoods Wharf; Charleston Harbor; Charleston County,Bathing,Right foot bittten,
,1837,Invalid,USA,South Carolina,“Southern Wharf”,,7.6 m [25'] shark caught contained human remains,Shark involvement prior to death unconfirmed
1832-06-04,1832,Unprovoked,AUSTRALIA,New South Wales,South Head; Sydney,Fishing,Leg severed,
1826-08-15,1826,Unprovoked,ENGLAND,Cumberland,Whitehaven,Bathing,FATAL,
1817-02-22,1817,Unprovoked,SRI LANKA,,Gulf of Mannar,Conch diver,Abdomen bitten,
1783-03-02,1783,Sea Disaster,MARTINIQUE,,Foundering of the privateer Holker,,Many of the crew were taken by sharks,
1758-01-01,1758,Unprovoked,MEDITERRANEAN SEA,,,Fell overboard from a frigate & was swallowed by a shark. The captain fired a gun at the shark; and the creature cast the man out of his throat.,He was taken up alive and but little injured.,The fish was harpooned; dried; and presented to the sailor; who went round Europe exhibiting it  It was said to be 20 feet long.
1617-01-01,1617,Unprovoked,INDIA,West Bengal,Ganges Delta,,,
,,Unprovoked,KENYA,Mombasa,Kilindini,Diving,FATAL,
,,Unprovoked,ASIA?,,,Swimming,Foot severed,
7/21/23,2023,Unprovoked,USA,South Carolina,Sea Pines Beach; Hilton Head Island; Beaufort County,Boogie boarding,Right foot injured,8' shark
5/3/23,2023,Unprovoked,SOUTH AFRICA,Easten Cape Province,Supertubes; Jeffreys Bay,Surfing,Leg injured,
3/16/23,2023,Unprovoked,AUSTRALIA,Western Australia,Cheynes Beach,Surf-sking,,5m to 6m shark
10/27/22,2022,Provoked,USA,Mississippi,Horn Island,Fishing,Minor injuries,5'shark
7/27/22,2022,Unprovoked,USA,Florida,Florida Keys; Monroe County,Lobstering,Injury to upper lip,Nurse shark
7/25/22,2022,Unprovoked,USA,Florida,Daytona Beach; Volusia County,Wading,Minor bite to left  foot,Blacktip shark?
5/20/22,2022,Unprovoked,AUSTRALIA,Western Australia,Royal Perth Yacht Club; Swan River,Diving,No Injury,Bull shark
4/7/22,2022,Unprovoked,USA,Florida,Canaveral National Seashore,Kayaking,No injury to occupants. Kayak bitten,
10/15/21,2021,Unprovoked,AUSTRALIA,Queensland,Hook Island; Whitsundays,Swimming,Lacerations and puncture to left leg,
8/3/21,2021,Unprovoked,USA,South Carolina,Hilton Head Island; Beaufort County,,Lacerations to lower body,Blacktip shark
7/5/21,2021,Unprovoked,AUSTRALIA,New South Wales,Crescent Head,Surfing,Left forearm broken & lacerated,White shark; 3m
1/22/21,2021,Watercraft,USA,Florida,Off Tampa Bay,Fishing,No injury to occupants,White shark
10/4/20,2020,Unprovoked,AUSTRALIA,Western Australia,Toms Surf break; Hamersley Pool; North Beach; Perth,Surfing,No injury; knocked off board when shark grabbed his leg rope,Bronze whaler 1.5m
11/30/19,2019,Unprovoked,USA,Florida,New Smyrna Beach; Volusia County,Surfing,No injury; knocked from his board by the shark,Juvenile blacktip shark
8/16/19,2019,Unprovoked,USA,Florida,New Smyrna Beach; Volusia County,Wading,Puncture marks to lower leg,
6/10/19,2019,Unprovoked,USA,North Carolina,Ocean Isle; Brunswick County,Surfing,Cuts to right foot,
1/14/19,2019,Unprovoked,AUSTRALIA,Western Australia,North Cottesloe,Swimming,Minor injury to left foot,Wobbegong shark
11/5/18,2018,Unprovoked,AUSTRALIA,Queensland,Cid Harbor; Whitsundays,Swimming,FATAL,
9/23/18,2018,Unprovoked,BAHAMAS,Abaco Islands,Treasure Cay,Spearfishing,Lacerations to fingers,Blacktip shark
5/26/18,2018,Unprovoked,USA,Florida,Daytona Beach; Volusia County,Standing,Minor injury to foot,
4/28/18,2018,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Scuba diving,No injury; shark bit scuba gear,Tiger shark
3/31/18,2018,Unprovoked,USA,Hawaii,Kukio Beach,Stand-Up Paddleboarding,Lacerations to right hand and arm; loss of right leg below the knee,Tiger shark; 12'
12/31/17,2017,Unprovoked,USA,Hawaii,Hultin's Beach; Oahu,Surfing,Severe lacerations to left thigh & knee,Tiger shark
9/25/17,2017,Unprovoked,AUSTRALIA,Western Australia,Gracetown,Surfing,No injury; board damaged by shark,White shark; 3.5 m
9/13/17,2017,Unprovoked,USA,Florida,Ponce Inlet; Volusia County,Surfing,Lacerations to left foot,5' to 6' shark
7/14/17,2017,Unprovoked,USA,Washington,South Beach; Westport; Grays Harbor County,Surfing,Pulled off board by shark but no injury,White shark; 9'
6/17/17,2017,Unprovoked,SPAIN,Ibiza Island,Playa d’en Bossa,Swimming,2-inch laceration to hand,
4/29/17,2017,Unprovoked,SOUTH AFRICA,Western Cape Province,Keurbooms; Plettenberg Bay,Surfing,Minor injury to right calf,
2/6/17,2017,Watercraft,SOUTH AFRICA,KwaZulu-Natal,Eastmoor Crescent Beach,Fishing,Shark damaged kayak; no injury to occupant,Tiger shark
1/13/17,2017,Unprovoked,USA,Florida,Jensen Beach,,Minor injury to hand,
10/1/16,2016,Unprovoked,USA,Florida,New Smyrna Beach; Volusia County,Surfng,Minor injuries,
9/5/16,2016,Unprovoked,USA,South Carolina,Kingston Plantation; Myrtle Beach; Horry County,Boogie boarding,Lacerations & punctures to lower right leg,
9/1/16,2016,Unprovoked,USA,California,Refugio State Beach; Santa Barbara County,Spearfishing,Two toes broken & lacerated,White shark; 8' to 10'
5/3/16,2016,Unprovoked,USA,Hawaii,Wailea Beach; Maui,Floating,Minor lacerations to right shoulder,
1/11/16,2016,Unprovoked,AUSTRALIA,Queensland,Happy Valley Beach; Caloundra,Surfing,Laceration to right foot,Wobbegong shark
9/29/15,2015,Unprovoked,USA,Florida,Vilano Beach; St.  Johns County,Surfing,Laceration to heel; puncture wounds to dorsum of foot,Blacktip shark; 5' to 6'
9/8/15,2015,Unprovoked,AUSTRALIA,New South Wales,North Shelly Beach,Surfing,Minor laceration to hand,6' shark
6/23/15,2015,Unprovoked,USA,South Carolina,St. Helena Island; Beaufort County,Standing,Minor injury to calf,small shark
5/20/15,2015,Unprovoked,USA,Florida,New Smyrna Beach; Volusia County,Surfing,2 puncture wounds to  dorsum of left foot,5' shark
4/12/15,2015,Unprovoked,REUNION,Saint-Gilles-les-Bains,Cap Homard,Surfing,FATAL,Bull shark
3/11/15,2015,Watercraft,AUSTRALIA,New South Wales,Julian Rocks; Byron Bay,Fishing,Bruised in falling overboard as shark bumped boat,
2/9/15,2015,Unprovoked,AUSTRALIA,New South Wales,Shelly Beach,Surfing,FATAL,3.5 to 4 m shark
2/5/15,2015,Unprovoked,AUSTRALIA,New South Wales,Mereweather Beach,Bodysurfing,5 minor puncture wounds to lower left leg,1.8 m shark
10/5/14,2014,Unprovoked,USA,Florida,New Smyrna Beach; Volusia County,Surfing,Foot bitten,Blacktip shark
8/5/14,2014,Unprovoked,USA,Florida,Cocoa Beach; Brevard  County,Swimming,Lacerations to  foot,
7/3/14,2014,Unprovoked,USA,South Carolina,Isle of Palms; Charleston County,Body surfing,Right hand bitten,4' to 5' shark
6/9/14,2014,Unprovoked,USA,Delaware,Cape Henlopen State Park; Sussex County,Standing,Abrasion to right hand; lacerations to left forearm,Sandbar shark; 3' to 4'
10/19/13,2013,Unprovoked,USA,Florida,Miami Beach,Wading,Bitten on left calf & foot,Nurse shark?
8/17/13,2013,Unprovoked,USA,California,Pillar Point; Half-Moon Bay; San Mateo County,Surfing,No injury; shark bumped surfboard,White shark
8/8/13,2013,Unprovoked,SOUTH AFRICA,,,Attempting to free the shark,Unknown; but survived,Blacktip shark
7/28/13,2013,Unprovoked,BAHAMAS,Abaco Islands,Scotland Cay,Spearfishing,Leg bitten,6' shark
6/25/13,2013,Unprovoked,USA,South Carolina,Kiawah Island; Charleston County,Swimming,Bitten on lower right leg; reported as a minor injury,4' to 5' shark
6/16/13,2013,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Queensberry Bay,Surfing,Lacerations to knee,
6/15/13,2013,Unprovoked,USA,Florida,Atlantic Beach; Duval County,Surfing,Lacerations to left ankle,
5/4/13,2013,Unprovoked,USA,Florida,Melbourne Beach; Brevard County,Surfing,Lacerations to left foot and ankle,a small shark
4/24/13,2013,Unprovoked,MEXICO,Quintana Roo,Seagull Beach; Cancun,Swimming,Avulsion injury  to lower right leg,Tiger shark
4/2/13,2013,Unprovoked,USA,Hawaii,Ka’anapali Shores,Surfing,Right thigh bitten,4' shark
1/21/13,2013,Invalid,AUSTRALIA,Queensland,Bullcock Beach,Dragging stranded shark into deeper water,No injury; a 3 m blue shark merely snapped at the man.,
12/19/12,2012,Unprovoked,AUSTRALIA,Western Australia,Trigg Beach,Surfing,No injury,Tiger shark; 6'
5/9/12,2012,Unprovoked,USA,Florida,Vero Beach; Indian River County,Swimming,Upper left thigh bitten,
12/23/11,2011,Unprovoked,USA,Florida,New Smyrna Beach,Surfing,Laceration to ankle,
10/5/11,2011,Watercraft,REUNION,,Cap La Houssaye,Canoeing,No injury to occupant,2 to 2.5 m shark
9/24/11,2011,Unprovoked,USA,Florida,Santa Maria Island; Manatee County,Spearfishing,Laceration to left thigh,Bull shark; 6'
,2011,Unprovoked,USA,Puerto Rico,Vieques,Floating,Lacerations to  lower right leg and foot,
7/15/11,2011,Watercraft,REUNION,Saint-Gilles,Brisants.,Kayaking or Wave skiing,No injury,
7/13/11,2011,Unprovoked,USA,Texas,South Padre Island; Cameron County,Surf fishing,Lacerations to left foot,
5/4/11,2011,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Palm Beach,Spearfishing,Calf bitten,
1/26/11,2011,Unprovoked,BAHAMAS,West End,Tiger Beach,Scuba diving,Arm bitten,Caribbean reef shark
8/7/10,2010,Unprovoked,USA,North Carolina,Figure Eight Island; Wilmington; New Hanover County,Surfing,Left foot bitten,
7/25/10,2010,Unprovoked,USA,South Carolina,Isle of Palms; Charleston County,Standing,Lacerations to right lower leg,4' shark
5/18/10,2010,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon,Swimming,Severe lacerations to left foot,20 to 30kg shark
2/1/10,2010,Provoked,NEW ZEALAND,South Island,Oreti Beach,Boogie Boarding,Stepped on shark PROVOKED INCIDENT,1.5 m shark
1/31/10,2010,Unprovoked,BRAZIL,Rio Grande Do Sul,Atlantis Beach; near Tramandai,Surfing,Foot bitten,Thought to involve a juvenile hammerhead shark
7/11/09,2009,Provoked,BAHAMAS,,,Spearfishing,Leg bitten by shark that had been shot in the head by another diver PROVOKED INCIDENT,Caribbean reef shark; 6'
6/2/09,2009,Unprovoked,EGYPT,St. Johns Reef,Habili Gafar,Scuba diving,3 cm laceration to shoulder,Oceanic whitetip shark
